Student ID,Age,Gender,Graduated high-school type,Scholarship type,Additional work,Regular artistic or sports activity,Total salary if available,Transportation to the university,Accommodation type in Cyprus,Mothers' education,Fathers' education,Number of sisters/brothers,Parental status,Mothers' occupation,Fathers' occupation,Weekly study hours,Reading frequency (non-scientific books/journals),Reading frequency (scientific books/journals),Attendance to the seminars/conferences related to the department,Impact of your projects/activities on your success,Attendance to classes,Preparation to midterm exams 1,Preparation to midterm exams 2,Taking notes in classes,Listening in classes,Discussion improves my interest and success in the course,Flip-classroom,Cumulative grade point average in the last semester (/4.00),Expected Cumulative grade point average in the graduation (/4.00),Course ID,OUTPUT Grade
203,1,1,2,3,1,1,2,2,3,4,3,1,1,4,3,1,2,2,1,1,1,3,1,3,2,2,1,1,1,1,2.0
204,2,1,2,4,1,1,2,2,3,3,3,2,1,3,3,3,2,2,2,2,1,2,1,2,2,2,2,2,3,6,2.0
205,1,2,1,3,2,2,2,2,2,3,3,3,1,2,4,4,2,2,1,2,1,1,1,3,2,2,3,2,3,1,3.0
206,1,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,1.0
207,2,1,2,4,1,1,2,2,3,3,2,2,1,3,3,3,2,2,2,2,1,2,1,2,2,2,2,2,3,6,2.0
208,2,2,2,3,2,1,1,1,1,1,3,5,1,2,4,4,2,3,1,1,1,1,2,3,2,3,3,5,4,1,5.0
209,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
210,2,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,2.0
211,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,3,2,2,1,1,1,3,2,2,1,2,3,8,1.0
212,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,3,2,2,1,1,1,3,3,1,1,2,3,8,1.0
213,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
214,1,2,1,4,2,2,2,4,1,2,3,2,1,2,4,2,2,2,1,1,1,2,1,2,2,2,1,3,2,1,2.0
215,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,1,1,2,3,7,1.0
216,2,2,2,3,2,2,1,1,2,1,4,3,1,2,4,2,2,2,1,1,1,1,1,2,1,3,2,1,2,1,3.0
217,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,0.0
218,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
219,2,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,2.0
220,2,2,2,3,2,1,1,4,2,4,4,2,1,3,1,2,2,1,1,1,1,1,1,2,1,3,1,2,3,1,1.0
221,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,3,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
222,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
223,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
224,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
225,1,1,2,5,1,1,1,1,4,1,1,1,1,4,1,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
226,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
227,1,1,2,5,1,1,1,2,3,1,1,2,1,4,2,3,2,3,2,1,1,1,1,3,3,1,1,1,3,8,1.0
228,1,1,1,4,1,1,3,2,3,4,6,2,1,4,3,4,2,3,1,1,1,2,1,3,3,3,1,2,2,9,3.0
229,1,1,2,5,1,1,1,2,4,1,1,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
230,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
231,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
232,2,1,2,4,1,1,2,2,3,2,2,3,1,3,3,3,2,2,2,2,1,2,1,3,2,2,2,2,3,7,2.0
233,3,2,2,3,1,2,1,1,2,1,2,4,1,2,3,2,2,3,1,1,1,1,1,3,3,2,3,4,3,1,3.0
234,2,1,3,3,2,2,1,4,2,4,4,1,1,3,2,2,2,3,2,3,2,2,1,2,2,1,1,1,2,8,1.0
235,3,2,2,2,1,1,5,1,1,1,4,3,1,2,1,3,2,3,1,1,2,1,1,3,2,3,3,3,3,1,1.0
236,1,1,2,5,1,1,1,2,3,1,1,2,1,4,2,3,2,3,2,1,1,1,1,3,3,1,1,1,3,8,1.0
237,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
238,1,1,2,4,1,1,1,2,3,2,2,2,1,4,3,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
239,2,2,2,3,1,1,1,1,1,4,2,3,1,3,3,2,3,2,1,1,1,1,1,3,2,3,1,5,4,1,4.0
240,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,3,2,2,1,1,1,3,2,1,1,2,3,7,1.0
241,1,1,2,5,1,1,1,2,3,1,2,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
242,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,2,2,3,2,2,1,1,1,3,3,1,1,2,3,8,1.0
243,2,2,2,3,2,2,2,1,1,3,1,3,1,2,4,1,2,2,1,1,1,1,1,2,1,3,2,4,4,1,2.0
244,2,2,2,3,2,2,1,1,1,2,2,2,1,2,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2.0
245,1,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,1.0
246,2,2,2,3,2,2,1,1,1,3,2,5,1,2,5,2,2,2,1,1,1,1,1,3,2,2,3,5,4,2,5.0
247,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
248,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
249,1,1,2,5,1,1,1,1,4,1,1,1,1,5,1,1,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
250,1,1,2,5,1,1,1,1,4,1,1,1,1,4,1,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
251,1,1,2,5,1,1,1,2,3,1,1,2,1,3,2,2,2,3,2,2,1,1,1,3,3,1,1,1,3,8,1.0
252,1,1,2,5,1,1,1,2,3,1,1,2,1,3,2,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,0.0
253,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
254,1,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,1.0
255,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
256,2,2,2,3,2,2,1,1,1,3,2,5,1,2,5,2,2,3,1,1,1,1,1,3,2,2,3,5,4,6,6.0
257,1,1,2,5,1,1,1,2,3,1,2,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,1.0
258,1,1,2,5,1,1,1,2,3,1,1,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
259,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
260,1,1,2,5,1,1,1,1,4,1,1,1,1,5,1,1,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
261,2,2,2,3,2,2,2,1,1,3,3,2,1,2,3,1,1,2,1,1,1,1,1,1,2,1,2,4,4,1,2.0
262,1,2,2,3,2,2,4,1,1,2,3,5,1,2,4,3,2,2,1,1,1,1,1,2,2,2,1,4,3,1,3.0
263,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
264,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
265,2,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,2,2,2,1,2,3,7,2.0
266,1,1,2,5,2,1,1,1,1,2,2,4,1,2,3,2,2,2,1,1,2,1,1,3,2,3,3,4,3,1,1.0
267,1,2,2,3,2,1,1,1,2,3,3,3,1,2,2,1,1,2,1,1,1,1,1,3,2,3,2,2,2,1,1.0
268,2,1,2,4,1,1,2,2,3,3,3,3,1,3,3,3,2,2,2,2,1,2,1,2,2,2,2,2,3,6,2.0
269,1,1,2,5,1,1,1,2,3,2,1,2,1,4,2,3,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
270,1,1,1,3,1,2,2,1,2,1,2,5,1,2,1,3,1,2,1,1,1,1,2,3,2,2,1,3,2,1,1.0
271,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
272,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
273,1,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,3,2,2,1,1,1,3,2,2,1,2,3,7,1.0
274,2,2,2,3,2,1,1,1,1,4,4,4,1,2,4,2,3,2,1,1,1,1,1,3,3,3,2,2,1,1,1.0
275,1,1,2,4,1,1,1,2,3,2,2,2,1,4,3,3,2,3,2,2,1,1,1,3,2,1,1,2,3,8,1.0
276,2,2,2,3,2,2,2,2,1,1,1,2,1,2,3,2,2,2,1,1,2,1,1,2,2,2,3,3,3,1,1.0
277,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,0.0
278,2,2,2,3,1,1,2,2,3,3,3,1,1,2,3,2,2,2,1,1,1,1,1,3,2,3,3,5,4,1,1.0
279,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
280,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
281,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,1.0
282,1,1,2,5,1,1,1,1,4,1,1,1,1,4,1,1,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
283,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,8,0.0
284,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
285,1,1,2,5,1,1,1,1,4,1,1,1,1,4,1,1,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
286,1,1,2,5,1,1,1,2,3,2,2,2,1,4,3,3,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
287,1,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,1.0
288,2,2,3,3,1,1,3,1,2,3,4,4,2,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,3,2,1.0
289,2,1,2,4,1,1,2,2,3,3,2,2,1,3,3,3,2,2,2,2,1,2,1,2,2,2,2,2,3,7,2.0
290,1,1,2,5,1,1,1,1,4,1,1,1,1,4,1,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
291,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
292,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,0.0
293,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
294,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,9,0.0
295,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
296,1,1,2,5,1,1,1,2,4,1,1,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,1.0
297,1,1,2,5,1,1,1,2,3,2,2,2,1,4,2,3,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
298,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,1,1,2,3,7,1.0
299,1,2,1,4,2,2,5,1,2,1,3,4,1,2,1,2,3,2,1,1,1,1,1,2,2,3,2,4,4,7,7.0
300,1,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,2.0
301,1,2,2,4,2,2,1,1,1,2,2,3,1,2,1,2,2,2,2,1,1,2,1,3,2,3,2,3,3,3,7.0
302,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
303,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,3,2,2,1,1,1,3,3,1,1,2,3,8,1.0
304,2,1,2,4,2,1,1,1,2,3,3,2,3,2,5,5,2,2,1,1,1,1,2,2,2,3,1,3,3,8,2.0
305,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
306,2,1,2,4,1,1,2,2,3,3,3,3,1,3,3,3,2,2,2,2,1,2,1,2,2,2,2,2,3,6,2.0
307,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
308,1,1,2,5,1,1,1,1,4,1,1,1,1,4,1,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
309,1,1,2,5,1,1,1,2,3,2,2,2,1,3,3,3,2,3,2,2,1,1,1,3,3,1,1,2,3,8,1.0
310,1,1,2,5,1,1,1,2,4,1,1,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,0.0
311,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
312,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,3,2,2,1,1,1,3,2,1,1,2,3,8,1.0
313,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,1.0
314,1,1,2,5,1,1,1,2,4,1,1,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,1.0
315,2,2,3,4,1,2,3,1,1,1,1,2,2,4,3,1,1,3,1,1,2,2,1,2,1,2,1,4,3,1,2.0
316,1,1,2,4,1,2,2,2,3,3,3,1,1,5,4,1,1,2,2,1,2,2,1,2,3,2,1,1,2,9,0.0
317,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,9,0.0
318,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
319,1,1,2,5,1,1,1,2,3,1,1,2,1,3,2,2,2,3,2,2,1,1,1,3,3,1,1,2,3,8,1.0
320,2,2,2,3,2,1,1,1,1,4,4,3,1,2,3,3,2,2,1,1,1,1,1,3,3,2,2,4,3,1,5.0
321,1,1,1,5,2,1,1,1,2,3,3,1,1,3,2,1,2,2,2,2,1,1,1,3,1,3,3,4,3,8,2.0
322,1,1,2,5,1,1,1,2,3,1,1,2,1,4,3,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
323,2,1,2,4,1,1,2,2,3,3,3,3,1,3,3,3,2,2,2,2,1,2,1,2,2,2,2,2,3,6,2.0
324,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,2,2,3,2,2,1,1,1,3,3,1,1,2,3,8,1.0
325,2,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,2.0
326,1,1,2,5,1,1,1,1,4,1,1,1,1,4,1,1,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
327,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
328,1,1,2,5,1,1,1,2,3,2,2,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
329,1,1,2,5,1,1,1,2,4,1,1,1,1,3,2,2,2,3,2,2,1,1,1,3,3,1,1,1,3,8,1.0
330,2,2,2,5,2,2,1,1,1,3,3,1,1,2,4,3,2,2,1,1,1,2,1,2,2,2,2,4,3,1,2.0
331,1,1,2,5,1,1,1,2,4,1,1,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,0.0
332,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,2,2,3,2,2,1,1,1,3,3,1,1,2,3,8,1.0
333,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
334,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
335,2,1,2,4,1,1,2,2,3,3,3,3,1,3,3,3,2,2,2,2,1,2,1,2,2,2,2,2,3,6,2.0
336,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,8,1.0
337,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,8,0.0
338,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,3,2,2,1,1,1,3,2,2,1,2,3,7,1.0
339,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,0.0
340,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,9,0.0
341,2,1,3,3,2,2,3,1,1,3,2,4,1,1,1,2,2,3,2,1,1,1,1,3,3,2,1,1,1,8,1.0
342,2,1,2,4,1,1,2,2,3,3,3,3,1,3,3,3,2,2,2,2,1,2,1,2,2,2,2,2,3,6,2.0
343,1,2,2,4,2,1,1,2,3,2,2,3,1,4,2,2,3,2,1,1,1,1,1,3,2,3,2,2,3,7,7.0
344,2,1,2,4,1,1,5,2,3,4,4,1,1,3,3,2,2,1,1,1,1,2,1,2,1,2,1,5,3,9,4.0
345,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
346,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
347,1,2,2,4,1,2,1,1,3,3,3,4,1,2,3,2,2,2,1,1,1,1,1,3,2,2,1,3,3,7,6.0
348,1,1,2,5,1,1,1,2,3,2,2,2,1,4,2,2,2,3,2,2,1,1,1,3,3,1,1,2,3,8,1.0
349,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
350,1,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,1.0
351,1,1,2,5,1,1,1,2,3,1,2,2,1,4,2,3,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
352,1,2,2,5,2,1,1,1,1,3,3,2,1,2,1,2,1,2,1,2,1,2,1,3,2,2,1,4,3,8,2.0
353,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
354,1,1,2,5,1,1,1,2,3,1,2,2,1,4,2,3,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
355,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,1,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
356,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
357,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
358,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,9,0.0
359,1,1,2,5,1,1,1,2,3,2,2,2,1,4,3,3,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
360,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
361,1,1,2,5,1,1,1,2,3,2,1,2,1,4,2,3,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
362,1,1,2,5,1,1,1,2,3,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,8,0.0
363,1,1,2,5,1,1,1,1,3,1,1,5,1,2,3,3,2,3,2,1,1,1,2,3,2,3,1,1,3,9,2.0
364,1,1,2,5,1,1,1,2,3,2,1,2,1,3,2,3,2,3,2,2,1,1,1,3,3,1,1,2,3,8,1.0
365,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
366,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
367,2,1,2,3,2,1,2,1,1,1,1,5,1,2,1,1,2,2,1,1,2,1,1,2,2,2,2,3,2,1,5.0
368,1,1,2,5,1,1,1,2,3,2,2,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
369,1,1,2,3,1,1,1,1,1,1,1,3,1,2,4,4,2,3,2,1,1,2,2,3,2,3,2,2,3,9,3.0
370,1,1,2,5,1,1,1,2,3,2,1,2,1,4,2,2,2,3,2,2,1,1,1,3,3,1,1,2,3,8,1.0
371,1,1,2,5,1,1,1,1,4,1,1,1,1,4,1,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
372,1,1,2,4,1,1,2,2,3,2,2,2,1,3,3,3,2,3,2,2,1,1,1,3,2,2,1,2,3,7,1.0
373,1,1,2,5,1,1,1,2,3,1,1,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,1.0
374,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
375,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
376,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,9,0.0
377,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
378,1,1,2,5,1,1,1,2,3,1,1,2,1,3,2,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
379,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
380,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,8,0.0
381,2,1,3,3,1,2,1,3,3,1,1,2,1,2,1,1,1,1,2,3,1,2,1,3,3,3,1,4,2,8,2.0
382,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,1.0
383,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
384,1,1,2,5,1,1,1,2,4,1,1,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,0.0
385,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,3,2,2,1,1,1,3,2,2,1,2,3,7,1.0
386,2,1,2,4,1,1,2,2,3,3,2,2,1,3,3,3,2,2,2,2,1,2,1,2,2,2,2,2,3,7,2.0
387,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
388,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
389,1,1,2,5,1,1,1,2,4,1,1,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,8,0.0
390,1,1,2,5,1,1,1,2,3,1,2,2,1,3,3,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,1.0
391,1,1,2,5,1,1,1,2,3,2,2,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
392,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,2,2,2,1,1,1,3,2,2,1,2,3,7,1.0
393,1,1,2,5,1,1,1,2,3,1,1,2,1,3,2,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
394,1,1,2,5,1,1,1,2,3,2,2,2,1,4,3,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
395,1,1,2,3,1,1,1,2,3,3,3,3,1,3,4,2,2,2,2,1,1,3,1,3,2,2,1,2,2,9,0.0
396,1,1,2,4,1,1,1,2,3,2,2,2,1,4,3,3,2,3,2,2,1,1,1,3,3,1,1,2,3,8,1.0
397,1,1,2,5,1,1,1,2,3,1,2,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
398,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,3,2,2,1,1,1,3,3,1,1,2,3,8,1.0
399,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
400,2,1,2,5,1,2,1,1,1,1,1,2,1,2,2,3,3,2,2,3,1,2,2,3,2,3,2,2,2,8,1.0
401,2,1,1,3,1,1,2,2,3,3,3,2,1,3,4,1,1,1,1,1,2,2,1,3,3,3,2,2,2,8,1.0
402,1,1,2,5,1,1,1,1,4,1,1,1,1,4,1,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
403,1,1,2,4,1,1,1,2,3,2,2,2,1,3,3,3,2,3,2,2,1,1,1,3,3,1,1,2,3,8,1.0
404,1,1,2,5,1,1,1,2,3,2,2,2,1,3,2,2,2,3,2,1,1,1,1,3,3,1,1,2,3,8,1.0
405,1,1,2,5,1,1,1,1,4,1,1,1,1,4,2,2,1,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
406,1,1,2,5,1,1,1,2,3,1,1,2,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,8,1.0
407,1,1,2,5,1,1,1,2,4,1,1,1,1,4,2,2,2,3,2,1,1,1,1,3,3,1,1,1,4,9,0.0
408,1,1,2,5,1,1,1,2,4,1,1,1,1,3,2,2,2,3,2,1,1,1,1,3,3,1,1,1,3,9,0.0
409,1,1,2,4,2,2,1,4,3,3,2,2,1,3,4,2,1,1,2,1,1,1,1,3,2,2,1,2,2,9,1.0
